DateTime,Latitude,Longitude,Depth,Magnitude,MagType,NbStations,Gap,Distance,RMS,Source,EventID,Version
2013-02-02T11:33:53.540+00:00,34.261,24.983,9.4,4.8,mb,,61,,,us,usc000f01m,1359806172651
2013-02-02T11:26:51.700+00:00,36.029,-117.778,2.7,1.7,Ml,,68,,,ci,ci15280481,1359804568647
2013-02-02T11:25:29.000+00:00,59.960,-153.008,5.6,1.1,Ml,,252,,,ak,ak10649379,1359804571677
2013-02-02T11:12:35.200+00:00,37.392,-118.902,3.4,1.2,Md,,230,,,nc,nc71933861,1359804306185
2013-02-02T11:01:14.500+00:00,33.701,-116.718,19.7,1.3,Ml,,36,,,ci,ci15280473,1359803040554
2013-02-02T10:57:55.500+00:00,33.275,-116.783,15.8,1.0,Ml,,50,,,ci,ci15280465,1359802852433
2013-02-02T10:50:04.600+00:00,36.459,-120.472,15.6,3.1,Ml,,47,,,nc,nc71933851,1359803631937
2013-02-02T10:44:45.300+00:00,38.853,-122.824,2.2,1.2,Md,,68,,,nc,nc71933846,1359805568606
2013-02-02T10:43:36.000+00:00,38.779,-122.724,1.8,2.2,Md,,40,,,nc,nc71933831,1359803825230
2013-02-02T10:33:29.300+00:00,35.808,-118.488,0.6,1.6,Ml,,112,,,ci,ci15280441,1359801357201
2013-02-02T10:11:12.600+00:00,38.857,-122.820,1.7,1.1,Md,,83,,,nc,nc71933811,1359801911541
2013-02-02T10:03:45.000+00:00,62.453,-152.149,0.2,2.0,Ml,,94,,,ak,ak10649353,1359799873184
2013-02-02T09:26:49.900+00:00,32.417,-115.618,5.8,2.1,Ml,,313,,,ci,ci15280433,1359797384203
2013-02-02T09:01:19.000+00:00,33.460,-116.455,8.8,1.6,Ml,,58,,,ci,ci15280425,1359795831095
2013-02-02T08:38:08.800+00:00,35.660,-121.095,5.5,1.8,Md,,112,,,nc,nc71933761,1359796030177
2013-02-02T08:03:29.900+00:00,45.843,-122.400,0.1,1.2,Md,,263,,,uw,uw60504276,1359792355614
2013-02-02T07:49:36.000+00:00,64.838,-147.396,11.3,1.0,Ml,,108,,,ak,ak10649335,1359792027639
2013-02-02T07:48:04.000+00:00,64.852,-147.359,14.4,1.2,Ml,,94,,,ak,ak10649329,1359791704253
2013-02-02T07:34:38.000+00:00,63.025,-148.887,99.8,1.8,Ml,,112,,,ak,ak10649321,1359791422848
2013-02-02T07:27:56.800+00:00,38.818,-122.804,3.8,1.6,Md,,32,,,nc,nc71933731,1359793745801
2013-02-02T07:26:48.900+00:00,38.818,-122.804,3.6,2.1,Md,,25,,,nc,nc71933721,1359792012456
2013-02-02T07:21:20.060+00:00,-6.549,130.017,145.0,4.5,mb,,65,,,us,usc000f005,1359792121156
2013-02-02T07:18:16.260+00:00,37.187,-118.174,5.4,1.8,ml,,171,,,nn,nn00401578,1359789637113
2013-02-02T07:03:02.200+00:00,33.234,-116.011,5.8,1.4,Ml,,169,,,ci,ci15280409,1359788756873
2013-02-02T06:53:42.400+00:00,33.629,-117.085,4.3,1.1,Ml,,58,,,ci,ci15280393,1359788180719
2013-02-02T06:47:03.160+00:00,34.983,-84.918,5.0,2.3,mb_Lg,,34,,,us,usc000f006,1359803215436
2013-02-02T06:39:18.000+00:00,60.072,-152.680,103.6,3.7,Ml,,79,,,ak,ak10649289,1359790034828
2013-02-02T06:35:18.400+00:00,33.438,-116.640,11.9,1.7,Ml,,184,,,ci,ci15280377,1359787070696
2013-02-02T06:34:58.100+00:00,38.817,-122.825,2.8,1.2,Md,,54,,,nc,nc71933676,1359788886317
2013-02-02T06:31:58.000+00:00,17.898,-68.457,87.0,2.9,Md,,230,,,pr,pr13033001,1359790500319
2013-02-02T06:26:31.960+00:00,30.877,142.676,32.2,4.8,mb,,36,,,us,usc000ezzr,1359788928904
2013-02-02T05:49:04.000+00:00,64.491,-146.940,3.7,1.5,Ml,,,,,ak,ak10649281,1359784389387
2013-02-02T05:10:01.160+00:00,10.727,-62.278,89.6,4.4,mb,,121,,,us,usc000ezzh,1359787811682
2013-02-02T05:09:38.000+00:00,60.811,-147.836,19.8,2.4,Ml,,133,,,ak,ak10649270,1359782246791
2013-02-02T05:07:51.480+00:00,37.341,-117.115,3.3,1.4,ml,,147,,,nn,nn00401575,1359781800780
2013-02-02T04:45:48.000+00:00,63.031,-149.891,20.1,1.2,Ml,,234,,,ak,ak10649268,1359780944297
2013-02-02T04:41:47.500+00:00,18.040,-67.059,17.0,1.9,Md,,259,,,pr,pr13033000,1359790459148
2013-02-02T04:38:32.000+00:00,66.250,-149.101,15.8,2.4,Ml,,79,,,ak,ak10649264,1359780331542
2013-02-02T04:19:49.400+00:00,37.470,-118.845,9.8,1.2,Md,,184,,,nc,nc71933631,1359781747707
2013-02-02T04:16:20.260+00:00,-11.086,165.174,28.6,5.6,mb,,67,,,us,usc000ezyt,1359787401224
2013-02-02T04:10:48.000+00:00,37.469,-118.848,9.5,1.2,Md,,184,,,nc,nc71933621,1359780129629
2013-02-02T04:04:35.700+00:00,33.388,-116.856,13.0,1.1,Ml,,72,,,ci,ci15280353,1359778047619
2013-02-02T03:56:11.000+00:00,62.303,-148.924,30.8,1.8,Ml,,,,,ak,ak10649248,1359777930797
2013-02-02T03:48:06.420+00:00,-32.562,-71.604,30.2,4.0,mb,,186,,,us,usc000f00n,1359802871277
2013-02-02T03:44:34.310+00:00,34.990,-97.466,13.8,2.8,mb_Lg,,80,,,us,usc000ezyg,1359787397425
2013-02-02T03:39:51.620+00:00,-10.864,165.347,19.8,4.9,mb,,105,,,us,usc000ezyd,1359779433732
2013-02-02T03:39:51.270+00:00,23.735,121.989,22.5,5.1,mb,,45,,,us,usc000ezya,1359777724486
2013-02-02T03:22:56.300+00:00,34.006,-117.168,8.8,1.2,Ml,,65,,,ci,ci15280345,1359775540236
2013-02-02T03:09:41.000+00:00,33.794,-116.077,3.8,1.4,Ml,,108,,,ci,ci15280337,1359774743629
2013-02-02T03:08:38.000+00:00,62.136,-151.701,90.9,1.8,Ml,,187,,,ak,ak10649234,1359774958414
2013-02-02T02:43:05.000+00:00,62.173,-150.812,68.8,2.7,Ml,,61,,,ak,ak10649223,1359773825237
2013-02-02T02:27:52.600+00:00,38.790,-122.736,1.4,1.0,Md,,130,,,nc,nc71933576,1359772172959
2013-02-02T02:17:20.200+00:00,38.816,-122.811,3.5,1.7,Md,,40,,,nc,nc71933566,1359772329750
2013-02-02T02:16:27.900+00:00,33.505,-116.559,15.5,1.2,Ml,,72,,,ci,ci15280313,1359771572232
2013-02-02T02:13:53.000+00:00,61.776,-149.500,16.8,2.2,Ml,,58,,,ak,ak10649209,1359772011926
2013-02-02T02:04:32.000+00:00,63.518,-147.357,5.9,1.5,Ml,,83,,,ak,ak10649203,1359771089776
2013-02-02T01:50:52.300+00:00,38.804,-122.810,1.6,2.2,Md,,79,,,nc,nc71933561,1359800237670
2013-02-02T01:25:01.800+00:00,38.748,-122.715,1.8,1.9,Md,,65,,,nc,nc71933556,1359768402787
2013-02-02T01:20:41.100+00:00,-10.828,165.238,35.2,4.9,Mb,,65,,,us,usc000ezxv,1359771338001
2013-02-02T01:19:36.040+00:00,-6.960,105.401,38.7,5.1,mb,,62,,,us,usc000ezxz,1359770879317
2013-02-02T01:18:26.700+00:00,36.562,-121.102,6.4,1.8,Md,,83,,,nc,nc71933551,1359769689663
2013-02-02T01:15:49.750+00:00,-11.146,165.387,26.9,5.0,mb,,103,,,us,usc000ezxt,1359769491239
2013-02-02T01:09:53.000+00:00,64.776,-147.564,17.0,1.2,Ml,,,,,ak,ak10649184,1359767799645
2013-02-02T00:52:30.800+00:00,38.820,-122.776,1.1,1.1,Md,,101,,,nc,nc71933536,1359766445697
2013-02-02T00:51:29.000+00:00,62.776,-148.941,56.1,1.5,Ml,,104,,,ak,ak10649176,1359767324163
2013-02-02T00:31:22.600+00:00,33.636,-116.734,17.3,1.0,Ml,,83,,,ci,ci15280281,1359765274511
2013-02-02T00:07:16.000+00:00,64.997,-147.436,0.1,1.4,Ml,,97,,,ak,ak10649167,1359764335648
2013-02-01T23:58:08.300+00:00,33.796,-116.079,2.2,1.3,Ml,,104,,,ci,ci15280265,1359763275512
2013-02-01T23:48:36.100+00:00,33.793,-116.075,1.5,1.3,Ml,,108,,,ci,ci15280257,1359762674298
